Part,Standard Price (USD),German Car Price (+20%),Source,productType,category,productImageUrl,descriptionTemplate,titleTemplate,handleIdSlug,brand_placeholder,Weight (lbs)
Window Switches,45,54,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_0034ea3ac0904a20921e8634e73a4b18~mv2.png,"Master window switch panel from a {YEAR} {MAKE} {MODEL} with all window and lock controls, tested for function. Fitment note: confirm your exact trim level before purchasing.","Window Switches - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",window-switches,{MAKE},0.5
Fuse Box,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_52273d44f1674e5985d31534ca69f6bb~mv2.png,"Under-hood or interior fuse/relay box from a {YEAR} {MAKE} {MODEL}, all fuse slots intact, no melted contacts or corrosion visible. Fitment note: confirm exact model year before purchasing.","Fuse Box - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",fuse-box,{MAKE},2
Battery,50,60,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_14113f7b108b40cba30c4b7968284393~mv2.png,"12V lead-acid battery pulled from a {YEAR} {MAKE} {MODEL}, load-tested with results disclosed at time of listing. Fitment note: ask seller for current load-test results before purchasing.","Battery - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",battery,{MAKE},40
Air Intake Manifold,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_d4da0e589c1f40e8b21fd84fe51aaa3c~mv2.png,"OEM intake manifold pulled from a {YEAR} {MAKE} {MODEL}, cleaned and inspected for cracks, gasket surfaces intact. Fitment note: confirm your exact engine before purchasing.","Air Intake Manifold - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",air-intake-manifold,{MAKE},6
Alternator,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_0aaffde7e60947e79a9b9a93b55b7cc5~mv2.png,"OEM alternator pulled from a {YEAR} {MAKE} {MODEL}, bench-tested for correct output voltage and amperage before listing. Fitment note: confirm your exact engine and model year before purchasing.","Alternator - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",alternator,{MAKE},12
AC Compressor,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_3fd7ffb030364f258210a4cffab5bb16~mv2.png,"OEM A/C compressor pulled from a {YEAR} {MAKE} {MODEL}, pulley spins freely, no oil leaks visible at the seals. Fitment note: confirm exact model year before purchasing, as refrigerant type may differ.","AC Compressor - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",ac-compressor,{MAKE},15
Tyre,60,72,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_bec10f485e4448e8b9d35c4d0dbb9f0e~mv2.png,"Used tyre from a {YEAR} {MAKE} {MODEL} with visible tread life remaining, no sidewall damage or plugs in the shoulder area. Priced per tyre. Fitment note: confirm your exact tyre size before purchasing - price varies with tread depth remaining.","Tyre - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",tyre,{MAKE},25
Rims,120,144,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_4174966ec9924e56bdfdb230706a6397~mv2.png,"OEM steel or alloy wheel from a {YEAR} {MAKE} {MODEL}, straight with no bends or cracks, light curb rash acceptable and disclosed. Fitment note: confirm your exact trim and wheel size before purchasing.","Rims - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rims,{MAKE},25
Odometer (Instrument Cluster),137.5,165,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_dd2d059794264ea9a77dd3629c986d8e~mv2.png,"OEM gauge cluster from a {YEAR} {MAKE} {MODEL}, all gauges and warning lights function-tested, odometer reading disclosed. Fitment note: cluster mileage should reasonably match the donor vehicle's actual mileage - ask seller for current reading.","Odometer (Instrument Cluster) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",odometer-instrument-cluster,{MAKE},3
Rear / Back Seat,150,180,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_ba535aba05544ebb99d96ec67a97ef0b~mv2.png,"Complete rear bench/split seat from a {YEAR} {MAKE} {MODEL}, upholstery clean with no rips, folds and latches function correctly where equipped. Fitment note: confirm exact seat configuration and upholstery color before purchasing.","Rear / Back Seat - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rear-back-seat,{MAKE},45
Co-Passenger Seat,150,180,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_a6ec514bc3b24087bcc864f8f57df216~mv2.png,"Front passenger seat from a {YEAR} {MAKE} {MODEL}, manual or power adjust depending on trim, upholstery clean and intact. Fitment note: confirm your exact trim and upholstery color before purchasing.","Co-Passenger Seat - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",co-passenger-seat,{MAKE},35
Driver Seat,175,210,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_51602e14df2941019c2869862abdeacf~mv2.png,"Driver seat from a {YEAR} {MAKE} {MODEL}, manual or power-adjustable depending on trim, upholstery clean with no rips or excessive wear. Fitment note: confirm your exact trim and adjustment type before purchasing.","Driver Seat - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",driver-seat,{MAKE},40
Right Side Mirror,95,114,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_b28a5181face46fba378764db928931e~mv2.png,"Power-fold exterior mirror from a {YEAR} {MAKE} {MODEL}, where equipped, glass and housing crack-free. Fitment note: confirm your exact trim to verify heated/power-fold features before purchasing.","Right Side Mirror - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",right-side-mirror,{MAKE},2
Left Side Mirror,95,114,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_4ec8c44045154f0392890c48337a517b~mv2.png,"Power-fold exterior mirror from a {YEAR} {MAKE} {MODEL}, where equipped, glass and housing crack-free. Fitment note: confirm your exact trim to verify heated/power-fold features before purchasing.","Left Side Mirror - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",left-side-mirror,{MAKE},2
Rear Left Door,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_386fbf3567a140c286c40c3274d20157~mv2.png,"Complete door assembly from a {YEAR} {MAKE} {MODEL} with glass, panel, and window regulator, straight with no dents. Fitment note: confirm your exact exterior color before purchasing.","Rear Left Door - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rear-left-door,{MAKE},60
Rear Right Door,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_107310f507d7485da20b10b4375a8636~mv2.png,"Complete door assembly from a {YEAR} {MAKE} {MODEL} with glass, panel, and window regulator, straight with no dents. Fitment note: confirm your exact exterior color before purchasing.","Rear Right Door - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rear-right-door,{MAKE},60
Front Right Door,250,300,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_2763ca128a6c4752b983207d5bcac885~mv2.png,"Complete front door assembly from a {YEAR} {MAKE} {MODEL} with glass, panel, mirror mount, and regulator, straight with no dents. Fitment note: confirm your exact exterior color before purchasing.","Front Right Door - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",front-right-door,{MAKE},65
Front Left Door,250,300,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/af782b_639f29c3d3bb4b6c9818184dc6d86a6c~mv2.png,"Complete front door assembly from a {YEAR} {MAKE} {MODEL} with glass, panel, mirror mount, and regulator, straight with no dents. Fitment note: confirm your exact exterior color before purchasing.","Front Left Door - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",front-left-door,{MAKE},65
Hood,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_f883a63a6caa4348a0106cd30ba17c0f~mv2.png,"Steel hood panel from a {YEAR} {MAKE} {MODEL}, straight with no dents or rust, hinges and latch mount intact. Fitment note: confirm your exact model year before purchasing, as hood styling can change across generations.","Hood - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",hood,{MAKE},30
Right Headlight,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_fe51df1367a14c23b1f1abffd5b1455a~mv2.png,"Headlight assembly from a {YEAR} {MAKE} {MODEL}, lens clear with no yellowing or moisture intrusion, all bulbs function-tested. Fitment note: confirm your exact trim before purchasing.","Right Headlight - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",right-headlights,{MAKE},5
Left Headlight,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_6f320ac2388a4f4a820170948f2101ed~mv2.png,"Headlight assembly from a {YEAR} {MAKE} {MODEL}, lens clear with no yellowing or moisture intrusion, all bulbs function-tested. Fitment note: confirm your exact trim before purchasing.","Left Headlight - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",left-headlights,{MAKE},5
Right Fender,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_75da5d4be0a3441d827c9aa6634eca20~mv2.png,"Steel front fender panel from a {YEAR} {MAKE} {MODEL}, straight with no dents or rust, mounting points intact. Fitment note: confirm your exact exterior color before purchasing.","Right Fender - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",right-fender,{MAKE},15
Left Fender,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_ec33f4f447ee4001bbb0ef5fb372d4cd~mv2.png,"Steel front fender panel from a {YEAR} {MAKE} {MODEL}, straight with no dents or rust, mounting points intact. Fitment note: confirm your exact exterior color before purchasing.","Left Fender - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",left-fender,{MAKE},15
Rear Bumper,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_26fe3c9446594598a2a310f20d77fe59~mv2.png,"Rear bumper cover from a {YEAR} {MAKE} {MODEL}, straight with no cracks, sensor cut-outs intact where equipped. Fitment note: confirm your exact trim before purchasing.","Rear Bumper - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rear-bumper,{MAKE},20
Engine (Complete),2000,2400,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_85ae3e40be88466f931860331f5e71c4~mv2.png,"Complete engine pulled from a {YEAR} {MAKE} {MODEL}, compression-tested, no oil leaks or knocking noted. Sold as long block - accessories not included. Fitment note: confirm your exact engine code/displacement before purchasing, as engine options vary within the same model year.","Engine (Complete) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",engine-complete,{MAKE},350
Brake Disc (Rotor),23.8,28.56,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_9b3d1585d56d48b697aab7c4fa7c89ab~mv2.png,"OEM brake rotor from a {YEAR} {MAKE} {MODEL}, measured for remaining thickness above minimum spec, no scoring visible. Priced per rotor. Fitment note: price is per rotor - front and rear sizes differ, please specify which you need.","Brake Disc (Rotor) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",brake-disc-rotor,{MAKE},15
Base Chassis Plate (Subframe),89.13,106.96,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_3408f0aea7214fcda84602cb9bc0d08d~mv2.png,"OEM front or rear subframe cradle from a {YEAR} {MAKE} {MODEL}, straight with no bends or weld damage. Fitment note: specify front or rear subframe when ordering.","Base Chassis Plate (Subframe) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",base-chassis-plate-subframe,{MAKE},60
Brake Drum,23.8,28.56,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_9465533fd11342a1baf2c41e66d13100~mv2.png,"OEM rear brake drum from a {YEAR} {MAKE} {MODEL}, measured for wear and free of cracks or excessive scoring. Fitment note: confirm your exact trim uses rear drum brakes (not all do) before purchasing.","Brake Drum - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",brake-drum,{MAKE},12
Chassis,592.1,710.52,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_ad34fcb6e9be45d486f0556360898907~mv2.png,"Full structural section from a {YEAR} {MAKE} {MODEL}, sold only for specialty rebuild use - not a standard bolt-on resale item. Fitment note: rarely sold as a standalone part - most buyers want a subframe or specific structural section instead.","Chassis - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",chassis,{MAKE},400
Engine Control Module,125,150,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_bae0f3531b224b658cf382d81753445e~mv2.png,OEM ECM/PCM pulled from a {YEAR} {MAKE} {MODEL}. Immobilizer-locked units may require dealer programming to your vehicle. Fitment note: confirm compatibility and programming requirements with a qualified shop before purchasing.,"Engine Control Module - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",engine-control-module,{MAKE},2
Floor Carpet,150,180,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_2f8369075cb84a2cb02af9bc07fa588d~mv2.png,"Full interior carpet set from a {YEAR} {MAKE} {MODEL}, clean with no tears, stains, or persistent odor. Fitment note: confirm your exact interior color before purchasing.","Floor Carpet - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",floor-carpet,{MAKE},10
Foot Rest (Dead Pedal),35.75,42.9,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_46d5c5834d484b63bbc370197c5678f4~mv2.png,"OEM driver-side dead pedal/footrest from a {YEAR} {MAKE} {MODEL}, mounting intact. Fitment note: low-value, small-format item - confirm exact model match before purchasing.","Foot Rest (Dead Pedal) - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",foot-rest-dead-pedal,{MAKE},0.5
Front Bumper,375,450,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_0b788ef4db8e47928ebff88ee462b1c4~mv2.png,"Front bumper cover from a {YEAR} {MAKE} {MODEL}, straight with no cracks, fog light cut-outs intact where equipped. Fitment note: confirm your exact trim and exterior color before purchasing.","Front Bumper - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",front-bumper,{MAKE},22
Heated Seats,200,240,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_85d767dd666d4ea58e062a225628e361~mv2.png,"Front seat heating element pair from a {YEAR} {MAKE} {MODEL}, tested for even heat across settings, where factory-equipped. Fitment note: confirm this feature was factory-equipped on your specific vehicle before purchasing.","Heated Seats - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",heated-seats,{MAKE},5
Heated Side Mirrors,175,210,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/b7ea06_5fc1a06a670c401e8e101257699a1e00~mv2.png;https://static.wixstatic.com/media/d1d397_dd4ca62158d944c986f4a33c9fd03338~mv2.png,"Heating element built into mirror glass from a {YEAR} {MAKE} {MODEL}, tested for function, where factory-equipped. Fitment note: sold as part of the mirror assembly - confirm your trim has heated mirrors before purchasing.","Heated Side Mirrors - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",heated-side-mirrors,{MAKE},1
Heated Steering Wheel,100,120,Client-confirmed,Auto Part,Used Auto Parts,https://static.wixstatic.com/media/ed030f_9742e4cf184745289709de5764db7382~mv2.png,"OEM heated steering wheel assembly from a {YEAR} {MAKE} {MODEL} where factory-equipped, heating element tested, trim condition disclosed. Fitment note: confirm this was factory-equipped on your specific vehicle before purchasing.","Heated Steering Wheel - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",heated-steering-wheel,{MAKE},8
Heated Rear Windshield,29.25,35.1,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_fe6c0608f0ad4649bbc63e156012d36a~mv2.png,"OEM rear windshield glass from a {YEAR} {MAKE} {MODEL} with integrated defroster grid, tested for continuity, no cracks or delamination. Fitment note: confirm your exact body style before purchasing.","Rear Windshield - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",rear-windshield,{MAKE},32
Heated Windshield,35.1,42.12,PYP reference (NA item),Auto Part,Used Auto Parts,https://static.wixstatic.com/media/d1d397_21a0c7d1e4f64a65938bc2645442e2ef~mv2.png,"OEM windshield with embedded heating element from a {YEAR} {MAKE} {MODEL} where factory-equipped, tested for function, no cracks or delamination. Fitment note: confirm this feature was factory-equipped before purchasing, otherwise a standard windshield listing applies.","Heated Windshield - {YEAR} {MAKE} {MODEL} (Used, Good Condition)",heated-windshield,{MAKE},15
